Transaction_ID,Date,Product,Category,Quantity,Price_per_Unit,Total_Sales
1,2025-01-01 00:00:00,Vegetables,Packaged,3,146.46,439.38
2,2025-01-01 01:00:00,Rice,Bakery,3,472.15,1416.45
3,2025-01-01 02:00:00,Snacks,Staples,7,443.19,3102.33
4,2025-01-01 03:00:00,Sugar,Bakery,4,51.11,204.44
5,2025-01-01 04:00:00,Vegetables,Staples,8,263.16,2105.28
6,2025-01-01 05:00:00,Eggs,Packaged,9,120.28,1082.52
7,2025-01-01 06:00:00,Vegetables,Produce,3,211.28,633.84
8,2025-01-01 07:00:00,Snacks,Produce,5,439.66,2198.3
9,2025-01-01 08:00:00,Sugar,Staples,4,268.48,1073.92
10,2025-01-01 09:00:00,Rice,Produce,6,173.77,1042.62
11,2025-01-01 10:00:00,Snacks,Packaged,4,111.87,447.48
12,2025-01-01 11:00:00,Snacks,Produce,8,402.16,3217.28
13,2025-01-01 12:00:00,Eggs,Packaged,3,316.01,948.03
14,2025-01-01 13:00:00,Fruits,Bakery,5,239.35,1196.75
15,2025-01-01 14:00:00,Sugar,Packaged,1,116.57,116.57
16,2025-01-01 15:00:00,Bread,Dairy,6,173.78,1042.68
17,2025-01-01 16:00:00,Snacks,Dairy,5,480.32,2401.6
18,2025-01-01 17:00:00,Fruits,Dairy,8,264.84,2118.72
19,2025-01-01 18:00:00,Bread,Staples,9,206.34,1857.06
20,2025-01-01 19:00:00,Sugar,Staples,8,265.5,2124.0
21,2025-01-01 20:00:00,Milk,Staples,8,391.7,3133.6
22,2025-01-01 21:00:00,Fruits,Packaged,3,176.65,529.95
23,2025-01-01 22:00:00,Beverages,Staples,4,97.57,390.28
24,2025-01-01 23:00:00,Milk,Bakery,4,296.62,1186.48
25,2025-01-02 00:00:00,Eggs,Dairy,5,335.95,1679.75
26,2025-01-02 01:00:00,Vegetables,Packaged,9,359.23,3233.07
27,2025-01-02 02:00:00,Rice,Dairy,9,442.17,3979.53
28,2025-01-02 03:00:00,Beverages,Staples,1,191.88,191.88
29,2025-01-02 04:00:00,Eggs,Packaged,8,46.92,375.36
30,2025-01-02 05:00:00,Sugar,Produce,1,479.59,479.59
31,2025-01-02 06:00:00,Eggs,Bakery,2,223.16,446.32
32,2025-01-02 07:00:00,Vegetables,Staples,7,315.4,2207.8
33,2025-01-02 08:00:00,Sugar,Staples,8,336.49,2691.92
34,2025-01-02 09:00:00,Beverages,Bakery,1,277.79,277.79
35,2025-01-02 10:00:00,Vegetables,Bakery,3,110.58,331.74
36,2025-01-02 11:00:00,Bread,Produce,7,380.02,2660.14
37,2025-01-02 12:00:00,Rice,Staples,9,403.84,3634.56
38,2025-01-02 13:00:00,Beverages,Staples,8,280.96,2247.68
39,2025-01-02 14:00:00,Bread,Dairy,8,249.39,1995.12
40,2025-01-02 15:00:00,Beverages,Packaged,9,65.83,592.47
41,2025-01-02 16:00:00,Sugar,Packaged,3,51.14,153.42
42,2025-01-02 17:00:00,Bread,Dairy,8,176.39,1411.12
43,2025-01-02 18:00:00,Rice,Packaged,1,162.31,162.31
44,2025-01-02 19:00:00,Vegetables,Bakery,8,477.29,3818.32
45,2025-01-02 20:00:00,Snacks,Packaged,7,393.98,2757.86
46,2025-01-02 21:00:00,Eggs,Packaged,8,333.36,2666.88
47,2025-01-02 22:00:00,Milk,Dairy,1,263.65,263.65
48,2025-01-02 23:00:00,Rice,Produce,6,92.01,552.06
49,2025-01-03 00:00:00,Bread,Packaged,7,489.44,3426.08
50,2025-01-03 01:00:00,Snacks,Packaged,5,193.77,968.85
51,2025-01-03 02:00:00,Rice,Produce,5,62.39,311.95
52,2025-01-03 03:00:00,Bread,Dairy,7,251.96,1763.72
53,2025-01-03 04:00:00,Fruits,Produce,3,438.26,1314.78
54,2025-01-03 05:00:00,Fruits,Dairy,6,444.77,2668.62
55,2025-01-03 06:00:00,Rice,Bakery,7,15.37,107.59
56,2025-01-03 07:00:00,Fruits,Dairy,1,444.28,444.28
57,2025-01-03 08:00:00,Bread,Bakery,2,143.03,286.06
58,2025-01-03 09:00:00,Bread,Bakery,4,29.1,116.4
59,2025-01-03 10:00:00,Rice,Dairy,8,425.42,3403.36
60,2025-01-03 11:00:00,Snacks,Staples,6,433.29,2599.74
61,2025-01-03 12:00:00,Vegetables,Dairy,1,302.15,302.15
62,2025-01-03 13:00:00,Beverages,Packaged,5,291.47,1457.35
63,2025-01-03 14:00:00,Snacks,Packaged,7,408.43,2859.01
64,2025-01-03 15:00:00,Sugar,Staples,6,395.29,2371.74
65,2025-01-03 16:00:00,Bread,Bakery,9,446.15,4015.35
66,2025-01-03 17:00:00,Sugar,Staples,8,280.85,2246.8
67,2025-01-03 18:00:00,Snacks,Packaged,4,484.15,1936.6
68,2025-01-03 19:00:00,Beverages,Staples,5,498.11,2490.55
69,2025-01-03 20:00:00,Beverages,Dairy,7,67.11,469.77
70,2025-01-03 21:00:00,Milk,Staples,8,426.28,3410.24
71,2025-01-03 22:00:00,Beverages,Bakery,5,254.91,1274.55
72,2025-01-03 23:00:00,Vegetables,Dairy,9,199.91,1799.19
73,2025-01-04 00:00:00,Beverages,Produce,4,310.41,1241.64
74,2025-01-04 01:00:00,Snacks,Packaged,4,37.42,149.68
75,2025-01-04 02:00:00,Milk,Packaged,8,258.17,2065.36
76,2025-01-04 03:00:00,Snacks,Staples,1,436.74,436.74
77,2025-01-04 04:00:00,Snacks,Dairy,8,114.6,916.8
